Employee_ID,Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
277,Engineering,Male,27,Engineer,1,PhD,4,8400,42,2,15,2,100,8,74,2,1.53,0
278,Legal,Female,59,Consultant,4,Bachelor,3,7150,55,19,20,11,50,15,66,0,1.84,0
279,Operations,Male,34,Developer,5,Bachelor,3,6500,44,0,19,0,25,7,48,1,1.9,0
280,Customer Support,Male,54,Consultant,8,Bachelor,2,6600,56,6,13,7,75,1,49,2,3.92,0
281,Sales,Female,57,Analyst,5,Bachelor,1,4400,51,15,15,13,25,19,36,0,2.5,0
282,Engineering,Female,43,Consultant,9,Bachelor,5,8250,33,20,5,2,75,14,42,0,3.06,1
283,Customer Support,Male,36,Engineer,1,Bachelor,3,7800,55,10,23,0,100,7,45,2,4.79,0
284,IT,Female,41,Technician,6,High School,4,4900,53,45,24,1,50,19,75,2,3.91,0
285,Marketing,Female,38,Manager,3,High School,3,7800,40,49,29,2,25,14,66,2,4.85,0
286,HR,Female,40,Manager,0,Bachelor,1,6600,59,24,1,14,50,8,2,1,1.65,1
287,HR,Female,22,Consultant,1,High School,4,7700,58,19,25,9,100,15,58,2,3.36,0
288,Finance,Male,34,Analyst,9,Bachelor,5,6000,50,37,21,6,0,14,66,0,4.91,0
289,Operations,Female,58,Manager,8,Master,5,9000,32,30,27,8,25,5,94,2,1.96,0
290,Legal,Male,42,Analyst,4,High School,4,5600,43,24,23,7,0,1,5,0,2.29,1
291,Engineering,Male,40,Consultant,8,High School,4,7700,51,44,23,5,25,19,88,2,3.49,0
292,Sales,Male,56,Analyst,3,Bachelor,3,5200,31,25,29,1,100,3,46,1,2.26,0
293,Sales,Male,51,Developer,6,High School,3,6500,47,39,27,12,0,3,33,0,4.16,0
294,Operations,Female,22,Consultant,8,PhD,4,7700,55,14,9,3,25,2,2,2,2.74,0
295,Sales,Male,48,Specialist,3,Bachelor,4,6300,36,0,25,1,50,19,39,0,1.39,0
296,HR,Female,40,Consultant,2,High School,3,7150,56,10,29,13,50,15,21,2,3.99,0
297,Operations,Female,36,Consultant,4,Master,4,7700,34,39,8,4,0,11,35,1,3.34,1
298,Customer Support,Female,30,Analyst,1,PhD,1,4400,34,36,1,0,75,9,76,0,4.39,0
299,Engineering,Other,22,Engineer,7,Bachelor,2,7200,51,40,6,14,50,16,92,1,5,0
300,Finance,Female,53,Technician,1,Bachelor,2,4200,45,6,23,12,100,9,23,1,2.5,0
301,Marketing,Male,34,Developer,2,Master,2,6000,33,49,7,11,25,6,68,0,4.69,0
302,Customer Support,Female,23,Developer,6,Master,5,7500,55,36,17,9,75,10,62,1,3.37,0
303,Sales,Female,57,Analyst,5,Bachelor,5,6000,57,40,17,12,100,13,19,2,2.01,0
304,Operations,Male,24,Consultant,8,Master,1,6050,51,43,5,11,25,18,94,0,1.21,0
305,Engineering,Male,46,Analyst,3,Bachelor,1,4400,31,0,5,1,100,7,20,1,4.98,0
306,Legal,Female,51,Developer,4,Bachelor,5,7500,51,11,21,14,50,7,77,1,3.65,0
307,Engineering,Female,46,Technician,7,Bachelor,1,3850,40,23,17,14,25,18,26,1,2.97,1
308,Sales,Female,58,Analyst,2,Master,1,4400,35,29,28,13,25,2,30,0,3.65,0
309,Marketing,Female,24,Manager,8,Bachelor,2,7200,45,35,4,1,0,19,53,0,1.11,0
310,Marketing,Female,35,Consultant,5,Bachelor,2,6600,55,19,1,9,100,14,76,2,2.32,0
311,Finance,Female,46,Developer,1,Master,3,6500,49,15,5,9,100,16,84,2,3.45,0
312,Customer Support,Male,34,Engineer,3,High School,3,7800,54,26,29,9,100,6,57,0,2.21,0
313,Customer Support,Male,47,Consultant,5,Master,1,6050,35,0,26,12,50,9,90,0,4.23,0
314,Engineering,Male,54,Analyst,0,High School,4,5600,41,11,1,0,25,1,84,0,1.18,1
315,Sales,Female,43,Manager,3,High School,2,7200,51,5,25,2,0,2,57,2,1.42,1
316,Sales,Male,42,Analyst,0,High School,4,5600,50,9,14,1,0,15,71,2,1.22,0
317,Operations,Male,23,Consultant,5,Master,2,6600,44,29,6,12,100,5,28,2,2.09,0
318,Finance,Female,27,Engineer,8,Bachelor,1,6600,60,36,13,9,75,19,66,0,2.49,0
319,Sales,Female,22,Engineer,8,High School,3,7800,36,20,1,9,50,16,52,1,3.48,0
320,Sales,Female,45,Engineer,7,Bachelor,3,7800,60,13,4,6,100,19,34,1,4.7,0
321,Finance,Female,36,Specialist,3,High School,1,4950,34,5,26,2,100,16,41,1,3.53,0
322,Engineering,Female,23,Consultant,8,Master,1,6050,41,7,0,12,75,18,37,1,4.67,0
323,IT,Male,26,Manager,3,High School,5,9000,36,30,9,10,0,7,3,1,1.62,0
324,Marketing,Female,34,Consultant,6,High School,1,6050,52,6,21,14,75,18,58,2,1.59,0
325,Finance,Male,24,Analyst,6,High School,4,5600,39,15,15,10,75,16,87,1,2.74,0
326,HR,Male,57,Developer,0,Bachelor,4,7000,30,24,9,9,100,5,74,2,3.21,0
327,Finance,Female,46,Consultant,8,Bachelor,4,7700,57,21,11,8,25,18,65,2,3.89,0
328,Finance,Female,22,Developer,4,High School,5,7500,52,8,19,2,25,7,42,0,4.75,0
329,Legal,Other,53,Consultant,6,Bachelor,2,6600,59,15,21,10,100,5,42,1,1.93,0
330,Operations,Female,27,Specialist,1,High School,4,6300,38,21,4,9,25,11,26,2,3.45,0
331,Marketing,Other,34,Consultant,8,Bachelor,5,8250,58,25,11,7,25,12,4,0,3.33,0
332,HR,Female,50,Technician,5,High School,4,4900,39,46,0,7,75,6,3,1,4.09,0
333,Operations,Female,31,Engineer,2,High School,4,8400,34,46,1,9,100,11,68,1,3.28,0
334,Operations,Male,38,Technician,8,PhD,2,4200,51,9,28,1,0,15,45,2,1.74,0
335,Finance,Female,33,Consultant,1,High School,5,8250,51,2,4,1,75,15,86,1,2.71,0
336,IT,Female,28,Consultant,2,Master,2,6600,50,26,6,8,75,12,83,2,2.63,0
337,Customer Support,Male,35,Engineer,7,High School,1,6600,48,4,0,3,100,16,26,1,4.64,0
338,Operations,Female,55,Developer,7,Master,1,5500,53,7,26,7,50,19,51,1,1.94,0
339,Finance,Male,60,Specialist,0,Bachelor,3,5850,38,47,9,14,25,3,67,0,1.85,1
340,Legal,Female,45,Specialist,7,Bachelor,4,6300,45,26,14,3,100,3,22,0,1.35,0
341,Marketing,Male,43,Engineer,1,Master,1,6600,36,31,3,1,75,8,59,0,3.48,0
342,Finance,Male,31,Manager,0,High School,2,7200,55,17,1,7,100,6,20,0,4.73,0
343,Finance,Female,29,Manager,3,Master,5,9000,50,39,11,1,25,16,6,1,3.11,0
344,Customer Support,Female,27,Analyst,3,Bachelor,3,5200,52,20,1,6,0,17,86,0,3.92,0
345,Operations,Female,56,Developer,1,Bachelor,4,7000,36,15,16,13,25,19,36,0,2.15,1
346,Operations,Female,58,Analyst,6,Bachelor,3,5200,46,15,19,10,75,1,73,0,2.72,0
347,HR,Female,54,Analyst,5,Bachelor,3,5200,50,15,9,3,100,4,97,2,3.72,0
348,HR,Male,48,Consultant,3,Master,3,7150,39,7,28,0,75,2,57,0,1.14,0
349,Sales,Male,31,Technician,7,Bachelor,4,4900,56,19,15,0,0,15,81,1,2.53,0
350,Engineering,Female,43,Manager,4,Bachelor,2,7200,59,41,17,13,75,3,9,0,2.02,0
351,IT,Female,26,Developer,3,Bachelor,4,7000,55,44,23,3,50,6,89,2,3.08,0
352,HR,Male,43,Engineer,5,Bachelor,1,6600,54,10,27,4,75,5,32,0,4.88,0
353,Legal,Female,25,Specialist,2,Bachelor,3,5850,34,3,18,5,0,4,68,2,4.37,0
354,Legal,Female,44,Analyst,1,Bachelor,2,4800,55,15,18,13,0,13,41,1,3.33,0
355,Customer Support,Male,46,Technician,4,Bachelor,5,5250,50,18,15,9,0,5,11,1,4.78,0
356,HR,Female,27,Developer,4,High School,1,5500,54,10,14,0,0,8,94,2,2.31,0
357,Operations,Female,53,Specialist,2,High School,4,6300,34,6,23,6,100,8,63,2,2.89,1
358,Sales,Female,32,Technician,2,Bachelor,5,5250,43,28,10,11,100,3,90,0,3.62,0
359,Operations,Male,36,Technician,5,High School,3,4550,44,39,24,12,100,15,35,1,4.75,0
360,Finance,Male,52,Consultant,1,High School,2,6600,38,12,7,13,50,15,10,2,3.55,0
361,HR,Male,50,Engineer,1,High School,2,7200,54,42,26,12,25,6,42,1,3.92,0
362,Sales,Female,38,Specialist,8,High School,4,6300,40,21,25,10,50,16,91,1,1.07,0
363,IT,Female,30,Specialist,2,Master,5,6750,45,6,13,0,75,12,92,2,1.82,0
364,Customer Support,Female,37,Engineer,0,High School,5,9000,47,2,8,8,25,9,37,1,2.64,1
365,Legal,Male,40,Technician,2,High School,3,4550,32,3,24,2,75,7,98,1,3.42,1
366,Marketing,Male,45,Manager,3,Bachelor,3,7800,48,39,18,9,0,18,0,2,3.26,0
367,Marketing,Female,42,Technician,5,Bachelor,1,3850,42,10,23,5,25,4,28,2,1.03,0
368,Marketing,Male,39,Manager,6,Master,4,8400,43,17,8,11,100,1,74,0,3.68,0
369,Legal,Female,28,Engineer,8,Master,3,7800,58,11,15,6,100,7,54,0,4.31,0
370,HR,Other,30,Manager,9,Master,4,8400,44,21,10,12,50,8,88,2,3.17,1
371,Engineering,Male,32,Consultant,6,Bachelor,3,7150,34,14,2,2,0,9,80,0,2.96,0
372,Customer Support,Male,50,Specialist,6,Bachelor,5,6750,47,49,12,1,0,3,27,1,2.69,0
373,Customer Support,Female,27,Specialist,7,PhD,1,4950,57,19,3,7,25,3,0,0,4.99,0
374,IT,Female,32,Manager,0,Bachelor,3,7800,49,17,25,13,100,16,7,1,1.29,1
375,Operations,Female,37,Manager,9,High School,4,8400,43,18,16,10,50,5,11,0,2.38,0
376,HR,Female,43,Analyst,8,Bachelor,1,4400,55,9,16,13,75,18,80,0,1.08,0
377,Finance,Male,28,Manager,2,High School,2,7200,35,12,1,14,75,13,7,2,3.76,0
378,Engineering,Female,33,Developer,9,Bachelor,4,7000,57,49,28,2,75,14,29,0,3.35,1
379,Sales,Female,53,Engineer,5,High School,1,6600,33,25,14,13,0,4,40,0,4.22,0
380,Customer Support,Female,44,Specialist,5,Bachelor,1,4950,41,14,10,5,75,9,87,2,2.49,0
381,Operations,Female,26,Technician,9,High School,3,4550,33,40,25,1,0,14,43,2,3.79,0
382,Customer Support,Male,42,Specialist,7,Master,1,4950,43,23,23,13,0,11,32,2,3.49,0
383,Marketing,Male,36,Specialist,3,Master,3,5850,55,12,12,3,25,3,58,1,4.11,0
384,Engineering,Female,34,Developer,2,High School,3,6500,33,8,20,10,100,8,88,1,3.15,0
385,Sales,Female,52,Manager,4,High School,3,7800,39,28,17,14,50,19,61,1,2.42,0
386,Operations,Male,31,Manager,5,High School,3,7800,42,11,23,4,25,11,31,1,4.62,0
387,Sales,Male,26,Manager,8,High School,5,9000,32,37,11,14,50,9,64,1,2.21,0
388,Operations,Female,43,Manager,0,PhD,2,7200,53,3,7,5,75,17,25,2,1.17,0
389,Finance,Female,60,Technician,4,High School,4,4900,50,6,10,7,75,2,95,1,4.48,1
390,IT,Female,23,Developer,8,High School,2,6000,44,36,14,9,50,7,89,2,2.82,0
391,Engineering,Male,33,Manager,8,Bachelor,3,7800,32,11,20,4,50,12,76,2,3.72,0
392,Finance,Male,25,Manager,3,High School,3,7800,43,33,11,3,25,2,85,0,1.65,0
393,Finance,Male,35,Technician,7,Bachelor,3,4550,58,11,10,3,25,13,67,2,4.01,0
394,Marketing,Female,31,Engineer,9,Master,4,8400,54,8,23,4,75,9,25,2,4.68,0
395,IT,Female,34,Engineer,4,Bachelor,4,8400,35,2,5,0,0,17,19,2,3.15,1
396,Customer Support,Female,39,Developer,9,High School,1,5500,58,4,20,11,25,3,97,1,2.44,0
397,Finance,Male,35,Developer,3,High School,4,7000,40,33,25,12,0,9,96,1,2,0
398,Legal,Male,41,Technician,6,Bachelor,4,4900,59,8,27,7,25,6,29,0,3.13,0
399,Finance,Male,25,Technician,7,High School,1,3850,52,41,3,2,25,16,12,2,1.53,0
400,HR,Other,31,Technician,0,Bachelor,2,4200,48,27,6,3,50,17,7,2,4.51,1
401,Marketing,Female,54,Specialist,2,Bachelor,3,5850,42,5,21,12,100,13,74,0,4.81,0
402,Finance,Female,58,Engineer,5,High School,2,7200,43,23,7,8,25,9,70,2,4.47,0
403,HR,Male,39,Consultant,2,High School,4,7700,56,34,9,7,100,4,60,0,1.17,0
404,IT,Male,25,Specialist,4,Bachelor,3,5850,45,1,1,3,25,18,40,1,1.56,0
405,Customer Support,Female,27,Consultant,6,High School,5,8250,44,2,7,1,25,2,66,1,4.95,0
406,Sales,Male,41,Engineer,5,Bachelor,3,7800,42,2,17,14,0,11,73,0,1.81,1
407,HR,Male,40,Analyst,2,PhD,2,4800,42,30,10,5,50,16,24,2,3.01,0
408,IT,Male,30,Developer,9,High School,3,6500,41,22,1,2,0,16,41,1,2.31,0
409,IT,Male,52,Analyst,4,Bachelor,2,4800,55,47,28,12,25,15,51,1,4.39,0
410,Engineering,Female,38,Specialist,0,PhD,2,5400,52,15,29,6,50,14,13,0,3.55,1
411,Engineering,Male,50,Engineer,3,Bachelor,5,9000,44,16,19,6,0,6,88,2,2.34,0
412,Marketing,Male,29,Technician,8,Bachelor,5,5250,59,29,16,8,75,5,18,1,3.98,0
413,Customer Support,Male,22,Developer,7,Bachelor,1,5500,54,12,29,2,50,3,55,0,1.05,0
414,Engineering,Male,29,Analyst,6,High School,4,5600,41,5,23,2,25,5,47,2,4.79,0
415,Customer Support,Other,33,Technician,2,Bachelor,5,5250,44,36,19,10,0,1,97,2,2.04,0
416,IT,Female,30,Developer,3,High School,2,6000,34,14,16,11,25,4,9,1,4.93,0
417,Operations,Male,42,Manager,3,Bachelor,2,7200,54,13,24,2,75,4,93,0,1.77,0
418,IT,Male,42,Specialist,6,PhD,3,5850,32,7,24,8,50,8,94,2,1.89,0
419,Customer Support,Female,42,Engineer,8,Master,5,9000,56,13,10,7,100,19,86,2,1.72,0
420,Marketing,Male,38,Engineer,1,High School,4,8400,33,45,25,7,50,8,58,0,2.04,1
421,Legal,Female,37,Technician,4,PhD,5,5250,57,1,13,13,25,13,63,0,4.07,0
422,Marketing,Male,52,Technician,6,Master,3,4550,55,26,16,3,0,6,43,1,4.59,0
423,Marketing,Male,51,Engineer,6,Master,1,6600,30,25,5,14,75,15,2,0,4.16,0
424,Finance,Female,31,Manager,7,Master,4,8400,37,49,8,14,25,11,62,0,3.74,0
425,IT,Female,30,Developer,5,PhD,2,6000,37,0,23,7,75,15,48,0,1.62,0
426,Sales,Female,45,Engineer,1,Bachelor,2,7200,40,38,10,8,50,13,28,2,1.95,0
427,Finance,Female,22,Developer,2,Bachelor,5,7500,49,46,21,4,100,15,41,0,3.48,0
428,Customer Support,Female,48,Engineer,7,Bachelor,4,8400,41,12,6,2,50,8,19,1,3.85,0
429,HR,Male,25,Engineer,4,High School,2,7200,60,30,23,13,50,4,12,1,2,0
430,IT,Male,50,Manager,0,Bachelor,2,7200,31,23,27,9,25,18,4,2,2.94,0
431,Engineering,Female,57,Developer,2,Bachelor,2,6000,58,9,26,6,0,16,57,1,3.86,0
432,Engineering,Female,23,Developer,3,High School,4,7000,36,22,24,9,50,6,27,0,2.38,0
433,Customer Support,Female,40,Consultant,0,High School,1,6050,51,32,9,10,25,6,45,0,3.04,0
434,Marketing,Female,50,Technician,8,High School,4,4900,59,26,5,1,75,18,5,0,1.57,0
435,Operations,Male,45,Specialist,5,Master,3,5850,54,35,2,5,75,17,75,2,4.35,0
436,Sales,Male,45,Manager,5,Bachelor,4,8400,46,10,2,7,50,3,85,0,1.18,1
437,Legal,Male,51,Consultant,1,High School,3,7150,36,36,2,0,0,19,5,2,1.9,0
438,Operations,Female,23,Manager,2,High School,5,9000,45,2,3,13,25,19,50,0,4.13,0
439,Marketing,Male,35,Analyst,6,Bachelor,1,4400,43,18,10,11,25,12,26,0,3.78,0
440,Legal,Male,48,Engineer,9,High School,5,9000,32,16,12,10,50,17,5,0,2.27,0
441,HR,Male,39,Consultant,7,Bachelor,5,8250,37,26,18,9,100,16,12,1,2.13,0
442,Engineering,Male,49,Analyst,5,Bachelor,2,4800,49,33,4,3,75,3,54,0,2.26,0
443,Customer Support,Male,28,Engineer,7,Master,4,8400,59,37,11,5,25,5,40,1,2.64,0
444,HR,Male,30,Analyst,3,Master,4,5600,58,36,17,0,0,9,7,2,4.33,0
445,HR,Male,39,Manager,8,Bachelor,4,8400,51,27,5,13,25,14,10,1,1.81,0
446,Sales,Other,56,Specialist,4,High School,4,6300,36,47,11,4,25,18,88,1,1.66,0
447,Marketing,Female,23,Consultant,3,High School,4,7700,43,40,12,5,25,3,37,1,2.83,0
448,Sales,Female,30,Developer,9,High School,2,6000,38,49,9,6,50,13,62,0,3.37,0
449,Marketing,Female,47,Consultant,0,Bachelor,4,7700,60,41,27,0,0,16,93,0,2.64,0
450,IT,Male,53,Technician,0,PhD,4,4900,45,36,14,3,0,5,7,1,2.35,0
451,Customer Support,Female,49,Engineer,3,Bachelor,1,6600,48,4,6,13,100,10,78,1,1.13,1
452,Customer Support,Female,47,Specialist,4,PhD,2,5400,32,24,7,11,0,11,53,1,4.9,0
453,Customer Support,Male,36,Specialist,4,PhD,1,4950,58,4,18,7,75,3,59,2,2.15,0
454,Operations,Female,31,Developer,3,Bachelor,5,7500,42,19,27,5,75,4,28,1,1.04,0
455,IT,Male,33,Developer,5,Bachelor,4,7000,45,21,28,1,75,5,68,1,3.47,0
456,Operations,Male,23,Manager,8,High School,5,9000,33,43,13,4,75,9,94,0,4.38,0
457,Marketing,Female,35,Technician,9,Master,2,4200,52,27,3,6,25,11,4,0,4.51,0
458,Engineering,Female,52,Consultant,3,Bachelor,4,7700,55,46,9,4,75,17,40,1,4.05,0
459,Sales,Male,39,Consultant,7,Master,4,7700,31,23,27,6,50,11,60,2,3.6,1
460,Engineering,Female,59,Engineer,8,Bachelor,2,7200,39,26,18,0,75,12,67,0,2.44,1
461,Operations,Male,28,Analyst,4,Bachelor,3,5200,56,37,28,11,50,11,98,2,2.54,0
462,Sales,Male,60,Developer,6,High School,1,5500,49,39,21,8,100,10,74,2,3.9,0
463,IT,Male,26,Manager,9,High School,4,8400,48,31,3,7,75,5,62,1,3.06,0
464,Operations,Female,37,Consultant,3,Bachelor,3,7150,56,7,12,7,100,5,64,2,4.72,0
465,IT,Male,40,Specialist,6,Master,3,5850,30,15,13,2,75,10,35,2,3.39,0
466,HR,Male,47,Manager,2,High School,3,7800,53,0,1,7,25,10,5,1,1.2,0
467,Sales,Male,50,Specialist,8,Bachelor,5,6750,32,48,28,13,25,4,99,2,3.18,0
468,Marketing,Male,56,Consultant,1,Bachelor,5,8250,52,4,28,6,0,8,48,2,2.97,0
469,Finance,Male,39,Consultant,6,Bachelor,2,6600,42,19,0,6,50,10,54,1,3.39,0
470,Operations,Male,36,Analyst,6,High School,5,6000,43,26,23,5,50,13,48,1,2.42,0
471,IT,Female,47,Developer,2,Bachelor,4,7000,40,7,15,5,75,10,22,0,1.59,0
472,Customer Support,Female,47,Specialist,0,Bachelor,4,6300,48,12,28,1,50,4,27,1,2.34,0
473,IT,Female,27,Engineer,9,Bachelor,4,8400,51,2,2,1,50,19,64,0,3.03,0
474,Marketing,Male,32,Consultant,5,Bachelor,4,7700,57,8,2,8,75,8,70,2,3.74,0
475,Engineering,Female,29,Consultant,6,High School,4,7700,44,23,22,0,0,16,6,1,4.56,0
476,Sales,Female,39,Technician,5,High School,3,4550,57,44,8,2,0,10,58,2,1.22,0
477,Engineering,Male,26,Engineer,2,Bachelor,3,7800,40,29,7,7,75,14,3,0,1.2,0
478,Legal,Male,39,Specialist,7,Bachelor,1,4950,35,34,11,13,25,18,26,2,2.84,0
479,HR,Male,32,Analyst,6,Bachelor,2,4800,43,37,25,14,0,2,10,0,1.81,0
480,IT,Male,37,Consultant,6,High School,5,8250,31,35,0,0,75,3,42,2,4.28,0
481,IT,Male,57,Engineer,8,PhD,4,8400,49,30,26,2,25,11,39,0,2.17,0
482,Engineering,Female,52,Specialist,3,High School,3,5850,55,10,24,2,75,3,48,0,2.91,0
483,Operations,Male,55,Manager,2,Bachelor,3,7800,52,4,17,9,75,15,34,0,1.23,0
484,Operations,Female,58,Consultant,5,High School,1,6050,55,37,21,12,0,12,26,2,1.79,0
485,Operations,Male,37,Specialist,6,Bachelor,5,6750,39,37,22,9,50,14,8,1,4.83,0
486,HR,Male,59,Consultant,4,Bachelor,3,7150,33,35,15,6,0,8,80,1,2.18,0
487,Customer Support,Male,43,Technician,0,Bachelor,5,5250,59,12,1,5,50,9,20,1,3.86,0
488,Engineering,Male,41,Consultant,4,Bachelor,1,6050,43,12,14,0,0,19,86,0,3.65,0
489,IT,Female,48,Specialist,7,High School,2,5400,34,16,6,0,0,4,97,1,2.47,0
490,Finance,Female,42,Analyst,5,Master,4,5600,37,1,2,0,50,18,11,2,3.21,0
491,Legal,Female,51,Consultant,4,High School,1,6050,38,21,25,0,100,4,99,1,2.01,0
492,Customer Support,Male,36,Manager,2,Bachelor,3,7800,42,21,20,14,0,11,7,2,4.68,0
493,Legal,Male,22,Engineer,7,Bachelor,1,6600,56,1,21,12,75,17,64,2,4.99,0
494,Marketing,Other,48,Specialist,6,Master,4,6300,40,17,3,10,25,10,88,1,4.92,0
495,Sales,Male,41,Specialist,0,Bachelor,2,5400,34,20,7,5,100,10,37,0,2.3,0
496,Finance,Female,50,Developer,0,PhD,4,7000,31,40,23,10,50,3,69,2,4.31,0
497,Engineering,Male,27,Consultant,5,Bachelor,2,6600,55,9,10,5,100,1,26,1,3.5,0
498,Engineering,Male,35,Analyst,5,High School,4,5600,51,25,18,6,50,17,48,0,2.95,0
499,Operations,Female,27,Specialist,5,High School,3,5850,46,47,0,8,0,11,62,1,3.88,0
500,Marketing,Male,27,Analyst,3,Bachelor,5,6000,46,48,15,5,0,19,97,0,3.38,0
501,IT,Female,31,Specialist,1,High School,5,6750,31,13,9,8,75,18,90,0,2.24,0
502,Customer Support,Male,57,Technician,5,High School,2,4200,51,8,18,8,0,16,98,0,4.27,0
503,Finance,Male,40,Consultant,2,High School,2,6600,47,16,22,10,100,15,19,0,1.89,0
504,Operations,Female,36,Specialist,6,High School,4,6300,45,35,28,10,25,11,36,0,3.73,0
505,Finance,Female,58,Analyst,9,High School,1,4400,52,24,0,3,0,11,39,2,1.15,0
506,HR,Other,56,Technician,8,Bachelor,5,5250,51,27,2,9,75,3,87,0,3.83,0
507,Customer Support,Other,36,Manager,4,Master,5,9000,39,5,22,5,25,17,45,2,2.44,0
508,Engineering,Male,49,Manager,9,Master,1,6600,35,41,20,13,50,12,51,0,4.41,0
509,Operations,Male,35,Consultant,6,Bachelor,1,6050,32,33,5,9,100,17,57,0,3.8,0
510,Legal,Male,57,Specialist,6,Bachelor,1,4950,57,0,0,3,75,4,7,1,4.06,0
511,HR,Female,50,Consultant,8,High School,5,8250,38,37,2,0,0,14,15,2,3.04,0
512,IT,Female,46,Specialist,8,Bachelor,2,5400,60,6,18,11,25,10,74,0,3.36,0
513,Legal,Male,35,Engineer,5,Master,2,7200,42,29,14,5,0,11,72,0,1.15,0
514,Finance,Male,36,Consultant,6,High School,2,6600,46,48,3,13,0,10,51,2,2.43,0
515,IT,Male,50,Consultant,8,High School,3,7150,44,25,5,2,75,11,30,1,2.31,0
516,Engineering,Female,46,Consultant,7,High School,5,8250,48,17,11,1,25,10,44,2,1.4,0
517,Legal,Male,55,Manager,7,Master,4,8400,38,41,25,12,50,9,3,2,4.58,0
518,Engineering,Female,27,Developer,0,Bachelor,1,5500,32,28,16,14,100,1,93,0,1.99,0
519,Finance,Male,39,Developer,1,Bachelor,5,7500,34,12,0,10,0,15,47,2,2.17,0
520,Finance,Female,43,Developer,4,High School,1,5500,53,8,16,4,100,10,56,2,2.66,0
521,Sales,Male,24,Consultant,5,High School,2,6600,54,49,9,9,75,19,57,2,1,0
522,Customer Support,Female,52,Analyst,8,High School,1,4400,53,38,23,10,25,6,28,1,2.61,0
523,Engineering,Female,49,Consultant,8,High School,5,8250,49,4,4,3,75,1,81,2,4.12,0
524,Legal,Female,27,Specialist,6,Bachelor,4,6300,30,11,26,10,50,2,12,2,4.02,0
525,Marketing,Male,59,Consultant,2,Bachelor,5,8250,56,28,14,12,75,18,48,1,2.1,0
526,Operations,Male,31,Technician,4,High School,1,3850,36,19,18,9,100,9,67,1,1.74,0
527,Operations,Male,52,Manager,4,Bachelor,4,8400,52,30,20,6,25,11,51,2,1.24,0
528,HR,Female,28,Engineer,3,Bachelor,1,6600,30,3,11,9,75,4,6,0,2.82,0
529,HR,Male,32,Developer,4,Bachelor,3,6500,35,36,0,5,100,18,68,0,3.43,0
530,HR,Male,27,Developer,2,Bachelor,2,6000,57,12,4,8,0,16,22,1,2.17,0
531,Marketing,Male,37,Engineer,6,Master,2,7200,48,23,20,14,75,14,88,1,4.28,1
532,Customer Support,Female,30,Engineer,5,Bachelor,3,7800,44,7,3,3,75,15,87,0,4.82,0
533,Legal,Male,34,Manager,5,Master,2,7200,38,45,21,9,100,9,39,1,4.21,0
534,Customer Support,Female,45,Developer,8,High School,4,7000,52,12,25,11,25,5,97,1,2.21,0
535,HR,Male,29,Consultant,3,High School,2,6600,48,46,21,0,75,9,47,0,3.96,0
536,Finance,Female,45,Specialist,2,Bachelor,1,4950,52,14,10,12,50,4,26,0,4.16,1
537,Marketing,Female,46,Technician,6,Bachelor,2,4200,45,37,29,5,75,3,89,1,4.06,0
538,IT,Male,35,Manager,2,Bachelor,3,7800,49,17,25,6,0,5,57,2,4.16,1
539,HR,Female,46,Technician,3,High School,5,5250,59,4,13,7,100,4,29,0,2.4,0
540,Sales,Female,55,Technician,6,High School,4,4900,30,12,29,1,25,9,89,2,1.58,0
541,Legal,Female,52,Engineer,1,Bachelor,2,7200,36,6,20,4,75,2,2,0,3.18,0
542,Marketing,Female,35,Specialist,1,Bachelor,3,5850,43,31,10,10,100,3,26,1,4.8,0
543,Marketing,Other,38,Specialist,5,PhD,1,4950,40,32,26,12,75,16,42,2,4,0
544,Legal,Female,35,Developer,0,Bachelor,2,6000,40,8,9,8,50,4,3,0,4.52,1
545,Sales,Male,39,Developer,9,Bachelor,1,5500,57,41,12,7,100,10,45,0,2.33,0
546,Operations,Female,33,Manager,1,Bachelor,1,6600,41,25,11,13,75,11,5,2,2.38,0
547,Sales,Male,52,Specialist,8,High School,1,4950,49,19,28,9,0,13,79,1,3.44,0
548,Sales,Other,58,Analyst,0,Bachelor,3,5200,52,12,5,4,25,18,31,0,2.95,0
549,Finance,Female,48,Specialist,4,High School,1,4950,59,15,23,12,0,6,81,1,1.41,0
550,Operations,Male,31,Engineer,6,Master,2,7200,31,16,11,4,0,9,62,2,1.85,1
551,Engineering,Female,31,Specialist,1,Bachelor,2,5400,54,13,24,14,50,18,59,1,3.08,0
552,Customer Support,Female,45,Analyst,7,Master,3,5200,54,16,22,0,100,17,17,2,2.57,0
553,Engineering,Female,24,Developer,5,Bachelor,2,6000,38,39,2,4,25,16,46,0,4.2,0
554,Customer Support,Male,60,Engineer,2,Bachelor,5,9000,40,1,27,5,100,19,7,1,2.66,0
555,Sales,Male,24,Technician,9,Master,1,3850,52,7,23,2,50,18,96,2,2.34,0
556,Finance,Male,60,Analyst,6,High School,5,6000,42,33,6,12,0,19,19,1,2.9,0
557,Customer Support,Female,51,Specialist,0,Bachelor,2,5400,40,5,14,9,75,13,90,1,1.68,0
